600
yellow,1,1d

#爆弾
infbomb,20,10,rot,r=8,p=1,f=0.15
infbomb,20,10,rot,r=8,p=2,f=0.15
infbomb,20,10,rot,r=8,p=3,f=0.15
infbomb,20,10,rot,r=8,p=4,f=0.15

#TNT

bleaf,5,1,lx=3,ly=3,content=tr
chap,35,15,lx=4,ly=4,content=tr
maro,1,16,lx=3,ly=3,content=tr
keme,17,15,lx=3,ly=3,content=tr
keme2,35,3,content=tr
chap2,34,2,lx=2,ly=2,content=tr
bchap,35,15,lx=4,ly=4,content=tr
bchap2,35,9,lx=2,ly=2,content=tr
hebi,27,18,content=tr
bread,19,2,lx=2,ly=2,content=tr
bread2,19,3,content=tr
queen,33,8,content=tr
queen,33,10,content=tr
nisekiku,10,1,ly=18,content=tr
bchap,1,17,lx=3,ly=2,content=tr
